rubro,producto,precio_indec,cantidad_ae,kcal_100g,prot_100g,carb_100g,grasas_100g,fecha,timestamp,precio_unitario_estimado,coincidencias,dispersion_std,metodo_calculo,kcal_diarias_ae,prot_diarias_g,carb_diarios_g,grasas_diarias_g,costo_mensual_ae,costo_hogar_tipo
Panadería,Pan francés,4500.0,6.75,265,9.0,55.0,1.2,2026-09-26,2026-09-26 19:43:43,4500.0,0,0.0,Proxy (Referencia INDEC),596.25,20.25,123.75000000000001,2.7,30375.0,93858.75
Panadería,Galletitas de agua,6800.0,0.42,420,9.5,68.0,12.0,2026-09-26,2026-09-26 19:43:43,6800.0,0,0.0,Proxy (Referencia INDEC),58.800000000000004,1.33,9.520000000000001,1.68,2856.0,8825.039999999999
Panadería,Galletitas dulces,7500.0,0.21,450,6.5,72.0,15.0,2026-09-26,2026-09-26 19:43:43,7500.0,0,0.0,Proxy (Referencia INDEC),31.5,0.455,5.04,1.05,1575.0,4866.75
Almacén,Arroz blanco,3800.0,1.2,354,7.0,78.0,0.6,2026-09-26,2026-09-26 19:43:43,1597.69,1,0.0,Mediana directa,141.6,2.8000000000000003,31.200000000000003,0.24,1917.228,5924.23452
Almacén,Harina de trigo 000,2200.0,1.08,340,10.0,72.0,1.2,2026-09-26,2026-09-26 19:43:43,873.16,1,0.0,Mediana directa,122.39999999999999,3.6,25.919999999999998,0.432,943.0128000000001,2913.909552
Almacén,Otras harinas (maíz / Polenta),2800.0,0.21,350,8.0,76.0,1.0,2026-09-26,2026-09-26 19:43:43,2800.0,0,0.0,Proxy (Referencia INDEC),24.5,0.56,5.32,0.07,588.0,1816.9199999999998
Almacén,Fideos secos,3800.0,1.74,355,12.0,73.0,1.5,2026-09-26,2026-09-26 19:43:43,1913.14,1,0.0,Mediana directa,205.89999999999998,6.96,42.339999999999996,0.87,3328.8636,10286.188524
Frutas y Verduras,Papa blanca,1800.0,6.51,80,2.0,18.0,0.1,2026-09-26,2026-09-26 19:43:43,1800.0,0,0.0,Proxy (Referencia INDEC),173.60000000000002,4.34,39.059999999999995,0.217,11718.0,36208.619999999995
Frutas y Verduras,Batata,2500.0,0.51,86,1.6,20.0,0.1,2026-09-26,2026-09-26 19:43:43,2500.0,0,0.0,Proxy (Referencia INDEC),14.62,0.272,3.4000000000000004,0.017,1275.0,3939.75
Frutas y Verduras,"Hortalizas (cebolla, tomate, zanahoria, zapallo, etc.)",2200.0,5.73,30,1.2,6.0,0.2,2026-09-26,2026-09-26 19:43:43,2200.0,0,0.0,Proxy (Referencia INDEC),57.3,2.2920000000000003,11.459999999999999,0.382,12606.000000000002,38952.54
Frutas y Verduras,"Frutas (manzana, naranja, banana, pera)",2800.0,4.95,52,0.5,13.5,0.2,2026-09-26,2026-09-26 19:43:43,2800.0,0,0.0,Proxy (Referencia INDEC),85.8,0.8250000000000001,22.275000000000002,0.33,13860.0,42827.4
Almacén,Azúcar,2000.0,1.23,387,0.0,100.0,0.0,2026-09-26,2026-09-26 19:43:43,993.75,1,0.0,Mediana directa,158.67000000000002,0.0,41.0,0.0,1222.3125,3776.945625
Almacén,"Dulces (dulce de leche, mermelada, batata)",6500.0,0.33,315,4.0,60.0,5.0,2026-09-26,2026-09-26 19:43:43,2864.82,1,0.0,Mediana directa,34.65,0.44,6.6,0.55,945.3906000000001,2921.256954
Almacén,"Legumbres secas (lentejas, arvejas)",4200.0,0.24,340,24.0,60.0,1.0,2026-09-26,2026-09-26 19:43:43,1681.9,1,0.0,Mediana directa,27.2,1.92,4.8,0.08,403.656,1247.29704
Carnes,"Carnes (asado, picada, paleta, nalga, pollo, pescado)",13500.0,6.27,210,19.0,0.0,14.0,2026-09-26,2026-09-26 19:43:43,13500.0,0,0.0,Proxy (Referencia INDEC),438.90000000000003,39.71,0.0,29.26,84645.0,261553.05
Carnes,Menudencias (hígado),5500.0,0.27,135,20.0,3.8,4.0,2026-09-26,2026-09-26 19:43:43,5500.0,0,0.0,Proxy (Referencia INDEC),12.15,1.8,0.34199999999999997,0.36,1485.0,4588.65
Carnes,"Fiambres (paleta cocida, salame)",15000.0,0.06,300,16.0,2.0,25.0,2026-09-26,2026-09-26 19:43:43,15000.0,0,0.0,Proxy (Referencia INDEC),6.0,0.32,0.04,0.5,900.0,2781.0
Lácteos y Huevos,Huevos (docena),6000.0,0.6,150,12.5,0.7,10.0,2026-09-26,2026-09-26 19:43:43,6000.0,0,0.0,Proxy (Referencia INDEC),30.0,2.5,0.13999999999999999,2.0,3600.0,11124.0
Lácteos y Huevos,Leche entera,2400.0,9.27,60,3.1,4.7,3.0,2026-09-26,2026-09-26 19:43:43,2400.0,0,0.0,Proxy (Referencia INDEC),185.4,9.579,14.523,9.27,22248.0,68746.31999999999
Lácteos y Huevos,"Queso (cremoso, cuartirolo, de rallar)",16000.0,0.33,320,20.0,1.5,26.0,2026-09-26,2026-09-26 19:43:43,16000.0,0,0.0,Proxy (Referencia INDEC),35.2,2.2,0.16499999999999998,2.8600000000000003,5280.0,16315.199999999999
Lácteos y Huevos,Yogur,3800.0,0.57,65,3.2,9.0,2.5,2026-09-26,2026-09-26 19:43:43,3800.0,0,0.0,Proxy (Referencia INDEC),12.35,0.608,1.71,0.47500000000000003,2166.0,6692.94
Lácteos y Huevos,Manteca,16000.0,0.06,717,0.9,0.1,81.0,2026-09-26,2026-09-26 19:43:43,16000.0,0,0.0,Proxy (Referencia INDEC),14.34,0.018000000000000002,0.002,1.62,960.0,2966.3999999999996
Almacén,Aceite de girasol,4800.0,1.2,884,0.0,0.0,100.0,2026-09-26,2026-09-26 19:43:43,4800.0,0,0.0,Proxy (Referencia INDEC),353.6,0.0,0.0,40.0,5760.0,17798.399999999998
Bebidas,"Bebidas no alcohólicas (gaseosas, jugos, soda)",3200.0,3.45,35,0.0,9.0,0.0,2026-09-26,2026-09-26 19:43:43,1402.48,1,0.0,Mediana directa,40.25,0.0,10.35,0.0,4838.5560000000005,14951.138040000002
Bebidas,"Bebidas alcohólicas (cerveza, vino)",4500.0,1.08,60,0.3,3.0,0.0,2026-09-26,2026-09-26 19:43:43,4293.075000000001,2,116.93499999999995,Mediana directa,21.599999999999998,0.108,1.08,0.0,4636.521000000001,14326.849890000001
Almacén,Sal fina,1500.0,0.12,0,0.0,0.0,0.0,2026-09-26,2026-09-26 19:43:43,1624.904,1,0.0,Mediana directa,0.0,0.0,0.0,0.0,194.98847999999998,602.5144032
Almacén,"Condimentos (mayonesa, caldos)",7500.0,0.12,350,1.0,10.0,35.0,2026-09-26,2026-09-26 19:43:43,7500.0,0,0.0,Proxy (Referencia INDEC),14.0,0.04,0.4,1.4,900.0,2781.0
Almacén,Vinagre,2200.0,0.06,18,0.0,0.1,0.0,2026-09-26,2026-09-26 19:43:43,3171.7,2,1954.9499999999998,Mediana directa,0.36,0.0,0.002,0.0,190.302,588.0331799999999
Almacén,Café,32000.0,0.03,200,14.0,40.0,0.2,2026-09-26,2026-09-26 19:43:43,32000.0,0,0.0,Proxy (Referencia INDEC),2.0,0.14,0.4,0.002,960.0,2966.3999999999996
Almacén,Yerba mate,6500.0,0.51,30,1.0,6.0,0.0,2026-09-26,2026-09-26 19:43:43,6500.0,0,0.0,Proxy (Referencia INDEC),5.1,0.17,1.02,0.0,3315.0,10243.35
