fecha,timestamp,rubro,producto,cantidad_ae,kcal_diarias_ae,prot_diarias_g,carb_diarios_g,grasas_diarias_g
2026-09-26,2026-09-26 19:43:43,Panadería,Pan francés,6.75,596.25,20.25,123.75000000000001,2.7
2026-09-26,2026-09-26 19:43:43,Panadería,Galletitas de agua,0.42,58.800000000000004,1.33,9.520000000000001,1.68
2026-09-26,2026-09-26 19:43:43,Panadería,Galletitas dulces,0.21,31.5,0.455,5.04,1.05
2026-09-26,2026-09-26 19:43:43,Almacén,Arroz blanco,1.2,141.6,2.8000000000000003,31.200000000000003,0.24
2026-09-26,2026-09-26 19:43:43,Almacén,Harina de trigo 000,1.08,122.39999999999999,3.6,25.919999999999998,0.432
2026-09-26,2026-09-26 19:43:43,Almacén,Otras harinas (maíz / Polenta),0.21,24.5,0.56,5.32,0.07
2026-09-26,2026-09-26 19:43:43,Almacén,Fideos secos,1.74,205.89999999999998,6.96,42.339999999999996,0.87
2026-09-26,2026-09-26 19:43:43,Frutas y Verduras,Papa blanca,6.51,173.60000000000002,4.34,39.059999999999995,0.217
2026-09-26,2026-09-26 19:43:43,Frutas y Verduras,Batata,0.51,14.62,0.272,3.4000000000000004,0.017
2026-09-26,2026-09-26 19:43:43,Frutas y Verduras,"Hortalizas (cebolla, tomate, zanahoria, zapallo, etc.)",5.73,57.3,2.2920000000000003,11.459999999999999,0.382
2026-09-26,2026-09-26 19:43:43,Frutas y Verduras,"Frutas (manzana, naranja, banana, pera)",4.95,85.8,0.8250000000000001,22.275000000000002,0.33
2026-09-26,2026-09-26 19:43:43,Almacén,Azúcar,1.23,158.67000000000002,0.0,41.0,0.0
2026-09-26,2026-09-26 19:43:43,Almacén,"Dulces (dulce de leche, mermelada, batata)",0.33,34.65,0.44,6.6,0.55
2026-09-26,2026-09-26 19:43:43,Almacén,"Legumbres secas (lentejas, arvejas)",0.24,27.2,1.92,4.8,0.08
2026-09-26,2026-09-26 19:43:43,Carnes,"Carnes (asado, picada, paleta, nalga, pollo, pescado)",6.27,438.90000000000003,39.71,0.0,29.26
2026-09-26,2026-09-26 19:43:43,Carnes,Menudencias (hígado),0.27,12.15,1.8,0.34199999999999997,0.36
2026-09-26,2026-09-26 19:43:43,Carnes,"Fiambres (paleta cocida, salame)",0.06,6.0,0.32,0.04,0.5
2026-09-26,2026-09-26 19:43:43,Lácteos y Huevos,Huevos (docena),0.6,30.0,2.5,0.13999999999999999,2.0
2026-09-26,2026-09-26 19:43:43,Lácteos y Huevos,Leche entera,9.27,185.4,9.579,14.523,9.27
2026-09-26,2026-09-26 19:43:43,Lácteos y Huevos,"Queso (cremoso, cuartirolo, de rallar)",0.33,35.2,2.2,0.16499999999999998,2.8600000000000003
2026-09-26,2026-09-26 19:43:43,Lácteos y Huevos,Yogur,0.57,12.35,0.608,1.71,0.47500000000000003
2026-09-26,2026-09-26 19:43:43,Lácteos y Huevos,Manteca,0.06,14.34,0.018000000000000002,0.002,1.62
2026-09-26,2026-09-26 19:43:43,Almacén,Aceite de girasol,1.2,353.6,0.0,0.0,40.0
2026-09-26,2026-09-26 19:43:43,Bebidas,"Bebidas no alcohólicas (gaseosas, jugos, soda)",3.45,40.25,0.0,10.35,0.0
2026-09-26,2026-09-26 19:43:43,Bebidas,"Bebidas alcohólicas (cerveza, vino)",1.08,21.599999999999998,0.108,1.08,0.0
2026-09-26,2026-09-26 19:43:43,Almacén,Sal fina,0.12,0.0,0.0,0.0,0.0
2026-09-26,2026-09-26 19:43:43,Almacén,"Condimentos (mayonesa, caldos)",0.12,14.0,0.04,0.4,1.4
2026-09-26,2026-09-26 19:43:43,Almacén,Vinagre,0.06,0.36,0.0,0.002,0.0
2026-09-26,2026-09-26 19:43:43,Almacén,Café,0.03,2.0,0.14,0.4,0.002
2026-09-26,2026-09-26 19:43:43,Almacén,Yerba mate,0.51,5.1,0.17,1.02,0.0
